date,fii_cash_buy,fii_cash_sell,fii_cash_net,dii_cash_buy,dii_cash_sell,dii_cash_net,combined_net
2026-04-27,30263.32,31414.8,-1151.48,19978.34,15854.42,4123.92,2972.44
2026-04-29,14271.22,16739.64,-2468.42,17232.28,14970.11,2262.17,-206.25
2026-04-30,15049.55,23097.41,-8047.86,18252.89,14765.79,3487.1,-4560.76
2026-05-04,19660.47,16824.85,2835.62,19516.11,14751.95,4764.16,7599.78
2026-05-05,10392.91,14014.49,-3621.58,16234.31,13631.69,2602.62,-1018.96
2026-05-06,14459.21,20294.11,-5834.9,22888.16,16051.29,6836.87,1001.9700000000003
2026-05-07,17997.95,18338.84,-340.89,17032.05,16590.98,441.07,100.18
2026-05-08,15083.49,19194.09,-4110.6,21296.87,14548.74,6748.13,2637.5299999999997
2026-06-01,17725.89,21637.57,-3911.68,15226.29,10117.16,5109.13,1197.4500000000003
2026-06-02,16955.9,25318.82,-8362.92,22508.77,12919.45,9589.32,1226.3999999999996
2026-06-03,17053.63,22670.19,-5616.56,17530.0,11789.11,5740.89,124.32999999999993
2026-06-04,14012.52,18459.58,-4447.06,16824.35,12464.21,4360.14,-86.92000000000007
2026-06-05,11044.57,19820.82,-8776.25,22779.32,13645.75,9133.57,357.3199999999997
2026-06-08,8842.08,14397.75,-5555.67,16683.18,11517.94,5165.24,-390.4300000000003
2026-06-09,14735.47,19301.5,-4566.03,17664.98,11505.5,6159.48,1593.4499999999998
2026-06-19,31442.87,26583.8,4859.07,18020.49,19180.13,-1159.64,3699.4299999999994
2026-06-22,10082.08,10717.99,-635.91,17391.78,16356.06,1035.72,399.81000000000006
2026-06-23,15396.07,15378.21,17.86,16863.04,16182.83,680.21,698.07
2026-06-24,16744.73,18588.13,-1843.4,17274.01,13636.75,3637.26,1793.8600000000001
